key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
space,4.319555,space,7.75655,space,11.72806,1.711934156,5.592435,0,0,0,16,1,Misunderstood,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.251028807,1.654625,0,1,1,5,1,Prominent,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.547325103,1.368085,0,2,2,1,1,Dominant,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.654320988,1.753085,0,3,3,12,1,Envious,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.588477366,2.38734,0,4,4,15,1,Irritable,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.567901235,1.51557,0,5,5,9,1,Self-absorbed,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.139917695,1.54119,0,6,6,0,1,Authoritative,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.148148148,1.419195,0,7,7,17,1,Vengeful,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.255144033,1.324295,0,8,8,6,1,Superior,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.798353909,2.08023,0,9,9,11,1,Underappreciated,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.024691358,1.347615,0,10,10,7,1,Ashamed,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.83127572,1.632315,0,11,11,10,1,Fragile,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.259259259,1.997525,0,12,12,4,1,Powerful,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.893004115,1.92418,0,13,13,8,1,Ignored,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.16872428,1.625865,0,14,14,2,1,Envied,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.345679012,1.32563,0,15,15,13,1,Resentful,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.810699588,1.331825,0,16,16,3,1,High-Status,NGS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.106995885,2.00344,0,17,17,14,1,Insecure,NVS,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When something painful happens I try to take a balanced view of the situation,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,space,5.62704,3.942386831,3.34853,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I feel inadequate in some way, I try to remind myself that feelings of inadequacy are shared by most people.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,4.172839506,4.11489,0,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I fail at something that’s important to me, I tend to feel alone in my failure.",,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,3.444444444,4.75718,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I try to be understanding and patient towards those aspects of my personality I don’t like.,,5e9a12283ede3b09d611fc63,35,,Male,2020-10-22_11h46.08.917,Personality Lexical Decision,2020.2.3,Win32,60,472,,,,,,4.271604938,4.187045,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
